fsd_no;fsd_vr;fsd_id;fsd_li;v1_1;v1_2;v1_3;v1_4;v1_5;v1_6;v2;v3_1;v3_2;v3_3;v3_4;v3_5;v4_1;v4_2;v4_3;v4_4;v5_1;v5_2;v5_3;v5_4;bv1;bv2;bv3_1;bv3_2;bv3_3;bv3_4;bv3_5;bv3_6;bv3_7;bv3_8;bv4;bv5;bv6
3077;2;123;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;2;1;1;3;3;2;3;2;3;3;3;3;2;2;2;2;1;56;5; ; ; ; ; ; ; ;4;0;,345845
3077;2;124;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;2;1;2;2;3;2;2;1;2;2;2;2;2;2;2;2;2;69;5; ; ; ; ; ; ; ;4;0;,199285
3077;2;125;(A) openly available for all users without registration (CC BY 4.0);1;2;2;1;2;1;1;2;2;3;2;2;2;3;3;4;2;2;2;3;2;78;3; ; ; ; ; ; ; ;2;0;1,511946
3077;2;126;(A) openly available for all users without registration (CC BY 4.0);1;2;1;2;2;1;1;1;1;3;2;1;3;3;2;3;3;1;1;2;1;21;3; ; ; ; ; ; ; ;3;0;2,744736
3077;2;127;(A) openly available for all users without registration (CC BY 4.0);1;2;1;2;1;1;1;1;2;1;2;2;1;2;1;1;1;1;1;2;1;69;4; ; ; ; ; ; ; ;4;0;,619295
3077;2;128;(A) openly available for all users without registration (CC BY 4.0);1;9;2;2;2;2;2;2;1;1;1;1;2;2;2;9;3;3;3;2;2;38;6; ; ; ; ; ; ; ;9;0;1,478737
3077;2;129;(A) openly available for all users without registration (CC BY 4.0);2;1;2;1;2;1;1;1;2;1;2;1;1;3;3;1;1;1;1;1;2;71;4; ; ; ; ; ; ; ;4;0;,246728
3077;2;130;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;1;2;2;4;4;3;1;2;1;2;3;1;1;1;4;1;2;37;8; ; ; ; ; ; ; ;4;0;,782498
3077;2;131;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;2;1;2;2;3;2;2;2;3;2;2;3;1;3;2;1;57;5; ; ; ; ; ; ; ;3;0;1,192585
3077;2;132;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;2;1;2;1;1;4;3;2;2;3;3;3;3;2;4;2;1;48;2; ; ; ; ; ; ; ;3;0;4,445046
